window_id,window_start,window_end,cryptocurrency,tweet_count,synthetic_count,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,mean_sentiment_score,sentiment_std,sentiment_intensity,mean_sentiment_confidence,dominant_label,regime
BTC_20221130T110500Z,2022-11-30 11:05:00+00:00,2022-11-30 11:10:00+00:00,BTC,179,0,11,163,5,0.061452513966480445,0.9106145251396648,0.027932960893854747,0.032169221962838536,0.24158183106395134,0.11851982631351195,0.8739602579084854,neutral,neutral
BTC_20221130T111000Z,2022-11-30 11:10:00+00:00,2022-11-30 11:15:00+00:00,BTC,153,0,9,136,8,0.058823529411764705,0.8888888888888888,0.05228758169934641,0.009787688546150534,0.2680191223480054,0.13115585194535406,0.8716334053893494,neutral,neutral
BTC_20221130T111500Z,2022-11-30 11:15:00+00:00,2022-11-30 11:20:00+00:00,BTC,149,0,3,140,6,0.020134228187919462,0.9395973154362416,0.040268456375838924,0.005745389317506112,0.19899740776199942,0.1048275312821337,0.8625914854491317,neutral,neutral
BTC_20221130T112000Z,2022-11-30 11:20:00+00:00,2022-11-30 11:25:00+00:00,BTC,189,0,13,170,6,0.06878306878306878,0.8994708994708994,0.031746031746031744,0.05014536460792577,0.25919743613953,0.12935780042969675,0.875073929943105,neutral,neutral
BTC_20221130T112500Z,2022-11-30 11:25:00+00:00,2022-11-30 11:30:00+00:00,BTC,144,0,5,134,5,0.034722222222222224,0.9305555555555556,0.034722222222222224,0.0005562064535398451,0.19050960687458757,0.09512237518275571,0.8645629994571209,neutral,neutral
BTC_20221130T113000Z,2022-11-30 11:30:00+00:00,2022-11-30 11:35:00+00:00,BTC,188,0,18,165,5,0.09574468085106383,0.8776595744680851,0.026595744680851064,0.053215347963603256,0.25087690833030357,0.13627657872882296,0.8579509893947459,neutral,neutral
BTC_20221130T113500Z,2022-11-30 11:35:00+00:00,2022-11-30 11:40:00+00:00,BTC,157,0,10,139,8,0.06369426751592357,0.8853503184713376,0.050955414012738856,0.017811576453197725,0.2668628627868646,0.1305672642063041,0.8723186220333075,neutral,neutral
BTC_20221130T114000Z,2022-11-30 11:40:00+00:00,2022-11-30 11:45:00+00:00,BTC,202,0,13,180,9,0.06435643564356436,0.8910891089108911,0.04455445544554455,0.012185028057988032,0.2489411809385163,0.12421269456182818,0.8678120072230254,neutral,neutral
BTC_20221130T114500Z,2022-11-30 11:45:00+00:00,2022-11-30 11:50:00+00:00,BTC,174,0,7,161,6,0.040229885057471264,0.9252873563218391,0.034482758620689655,0.03184609237426742,0.22078957546109856,0.11641587120288148,0.8604095379511515,neutral,neutral
BTC_20221130T115000Z,2022-11-30 11:50:00+00:00,2022-11-30 11:55:00+00:00,BTC,124,0,4,112,8,0.03225806451612903,0.9032258064516129,0.06451612903225806,-0.02387457811123421,0.2629179305417695,0.13369692880059442,0.8691480457782745,neutral,neutral
ETH_20221130T091500Z,2022-11-30 09:15:00+00:00,2022-11-30 09:20:00+00:00,ETH,40,0,0,40,0,0.0,1.0,0.0,0.03443370372988284,0.07017057761171218,0.04120070138014853,0.9060049444437027,neutral,neutral
ETH_20221130T092000Z,2022-11-30 09:20:00+00:00,2022-11-30 09:25:00+00:00,ETH,59,0,2,57,0,0.03389830508474576,0.9661016949152542,0.0,0.039548658134447315,0.1722766996909339,0.06347034939454269,0.9149627129910356,neutral,neutral
ETH_20221130T092500Z,2022-11-30 09:25:00+00:00,2022-11-30 09:30:00+00:00,ETH,77,0,1,75,1,0.012987012987012988,0.974025974025974,0.012987012987012988,0.002786044968751731,0.16409240431951028,0.060807309446058104,0.9075802146614372,neutral,neutral
ETH_20221130T093000Z,2022-11-30 09:30:00+00:00,2022-11-30 09:35:00+00:00,ETH,83,0,6,72,5,0.07228915662650602,0.8674698795180723,0.060240963855421686,0.031119094611740256,0.27279209032187224,0.13280189550111451,0.8812681278550482,neutral,neutral
ETH_20221130T093500Z,2022-11-30 09:35:00+00:00,2022-11-30 09:40:00+00:00,ETH,57,0,2,54,1,0.03508771929824561,0.9473684210526315,0.017543859649122806,0.022612188705815037,0.1886212830591088,0.07156695617493569,0.901589384204463,neutral,neutral
ETH_20221130T094000Z,2022-11-30 09:40:00+00:00,2022-11-30 09:45:00+00:00,ETH,57,0,5,52,0,0.08771929824561403,0.9122807017543859,0.0,0.0840542825723165,0.25027042316208414,0.11803884060824649,0.8909004853482831,neutral,neutral
ETH_20221130T094500Z,2022-11-30 09:45:00+00:00,2022-11-30 09:50:00+00:00,ETH,64,0,2,61,1,0.03125,0.953125,0.015625,0.01942065941693727,0.18039403382311298,0.08008500451978762,0.89082723390311,neutral,neutral
ETH_20221130T095000Z,2022-11-30 09:50:00+00:00,2022-11-30 09:55:00+00:00,ETH,60,0,0,60,0,0.0,1.0,0.0,0.033316705065468945,0.0916019757052618,0.05232021181533734,0.8956460326910018,neutral,neutral
ETH_20221130T095500Z,2022-11-30 09:55:00+00:00,2022-11-30 10:00:00+00:00,ETH,58,0,1,56,1,0.017241379310344827,0.9655172413793104,0.017241379310344827,0.01136750051880191,0.17532420950844324,0.06550999575069752,0.9098037368264692,neutral,neutral
ETH_20221130T100000Z,2022-11-30 10:00:00+00:00,2022-11-30 10:05:00+00:00,ETH,104,0,5,93,6,0.04807692307692308,0.8942307692307693,0.057692307692307696,0.005208879557008354,0.2431706196575077,0.1054208430622776,0.8944478762837557,neutral,neutral
